/node0/timestamp,/node0/temperature,/node0/humidity
1647373504.5808673,21.37,0.54
1647373509.7760916,21.4,0.54
1647373514.9751759,21.4,0.54
1647373520.185326,21.42,0.54
1647373525.3889525,21.43,0.54
1647373529.5513,21.42,0.54
1647373534.7399065,21.43,0.54
1647373539.9373558,21.43,0.54
1647373545.1481252,21.42,0.54
1647373550.3560276,21.45,0.54
1647373554.518128,21.45,0.54
1647373559.715596,21.45,0.54
1647373564.8970957,21.46,0.54
1647373570.0955937,21.45,0.55
1647373575.307436,21.45,0.55
1647373580.5097106,21.43,0.54
1647373584.6716323,21.45,0.54
1647373589.863801,21.4,0.54
1647373595.0590515,21.4,0.54
1647373600.2631872,21.42,0.55
1647373605.471478,21.42,0.55
1647373609.617492,21.4,0.54
1647373614.8214262,21.42,0.54
1647373620.0338259,21.39,0.55
1647373625.2220385,21.4,0.54
1647373630.4174528,21.4,0.54
1647373635.6290402,21.39,0.55
1647373639.78279,21.4,0.55
1647373644.9750726,21.39,0.55
1647373650.1741853,21.39,0.54
1647373655.382679,21.4,0.55
1647373660.5837574,21.36,0.54
1647373664.7374938,21.37,0.55
1647373669.940556,21.37,0.54
1647373675.1475387,21.4,0.55
1647373680.3395154,21.37,0.55
1647373685.5500493,21.36,0.55
1647373690.7451243,21.37,0.55
1647373694.9016504,21.37,0.55
1647373700.099521,21.39,0.55
1647373705.2991972,21.39,0.55
1647373710.497907,21.4,0.55
1647373715.7202146,21.39,0.55
1647373719.8534155,21.39,0.54
1647373725.0756116,21.39,0.55
1647373730.2651393,21.4,0.55
1647373735.4617944,21.42,0.55
1647373740.649067,21.4,0.55
1647373745.869212,21.4,0.55
1647373750.026092,21.43,0.55
1647373755.224644,21.42,0.55
1647373760.422543,21.43,0.55
1647373765.6128266,21.42,0.55
1647373770.8316283,21.42,0.55
1647373774.9837897,21.43,0.55
1647373780.1780553,21.42,0.55
1647373785.3745666,21.42,0.54
1647373790.5747142,21.42,0.54
1647373795.7875931,21.43,0.55
1647373800.9738774,21.45,0.55
1647373805.1457744,21.43,0.55
1647373810.3400185,21.45,0.55
1647373815.5424945,21.47,0.55
1647373820.7446706,21.47,0.54
1647373825.9573133,21.47,0.54
1647373830.1122706,21.47,0.54
1647373835.2977183,21.46,0.55
1647373840.5014615,21.46,0.55
1647373845.7054744,21.43,0.54
1647373850.9025764,21.42,0.55
1647373856.103613,21.42,0.55
1647373860.2618625,21.4,0.55
1647373865.465634,21.4,0.55
1647373870.663233,21.37,0.54
1647373875.8546658,21.39,0.55
1647373881.0769787,21.4,0.55
1647373885.2265375,21.43,0.55
1647373890.4249654,21.43,0.55
1647373895.6315525,21.4,0.54
1647373900.8134575,21.42,0.54
1647373906.029273,21.46,0.55
1647373911.219337,21.42,0.55
1647373915.3762448,21.43,0.55
1647373920.5897512,21.43,0.55
1647373925.7794204,21.45,0.55
1647373930.9879107,21.45,0.55
1647373936.1885645,21.43,0.55
1647373940.3333788,21.43,0.54
1647373945.550497,21.45,0.54
1647373950.752283,21.43,0.54
1647373955.936518,21.46,0.54
1647373961.1454368,21.47,0.55
